ID,MODULE_ID,TITLE,DESCRIPTION,IMAGE,CONTENT,LINK,,,,,,,,,,,,,,,,,,,
1,1,Stop Sign,"This sign indicates ""Stop completely"" at the line.",beginner1_stopsign.png,"This sign indicates ""Stop completely"" at the line.  You will find these at intersections most of the time, and they are there to keep things safe and prevent crashes.  It's all about giving everyone an opportunity to look before they go.
Example: You are at a four-way stop. You bring your car to a complete stop at the sign, then look both ways for traffic or pedestrians crossing your path. When both ways are clear, you have the go ahead to go ahead.",https://drive.google.com/open?id=1AY5_lBVEnag_Hv7pqu45xA5bios0hnWo&usp=drive_copy,,,,,,,,,,,,,,,,,,,
2,1,Give Way Sign,"At an intersection or roadblock, cars must give way to oncoming traffic.",beginner2_giveway.png,"At an intersection or roadblock, cars must give way to oncoming traffic. In the interest of free traffic movement and to prevent an accident, this sign invites drivers to reduce speed and give way to other cars before continuing in.
Example Scenario: The driver saw a give-way sign as they headed into the roundabout. Once it is safe, they slow down, give way to other cars that are already in the roundabout, and continue.",https://drive.google.com/open?id=1g8yyKdgDsZL5Eq0BVQW0_afeSzGHwA6O&usp=drive_copy,,,,,,,,,,,,,,,,,,,
3,1,Left Turner Must Give Way,"When turning left, cars must give way to oncoming traffic.",beginner3_leftturner.png,"When turning left, cars must give way to oncoming traffic. This prevents collisions at intersections by giving priority to cars that are going straight or turning right.
Example Scenario: At an intersection, a driver is turning left but sees an oncoming car. Before turning around, they allow a car to pass.",https://drive.google.com/open?id=10AjA3yKqheSlSfEGGPBsR9SWPIMYl5dU&usp=drive_copy,,,,,,,,,,,,,,,,,,,
4,1,No Turns,You cannot turn right or left at the crossing. ,beginner4_noturns.png,"You cannot turn right or left at the crossing. This sign is put up where turning would result in traffic or even injury, so vehicles are told to follow a specific route instead.
Example Scenario: A motorist notices a No Turns sign at an intersection. To make a U-turn, they must go straight and follow another path.",https://drive.google.com/open?id=1fzjCkwe9LY8ZGITT8hFLBjyzQi4Zbmbj&usp=drive_copy,,,,,,,,,,,,,,,,,,,
5,1,One Way,Traffic up ahead needs to be flowing in one direction.,beginner5_oneway.png,"Traffic up ahead needs to be flowing in one direction. In urban areas where there are narrow roads, this sign is usually put up to make traffic flow smoothly without being interrupted by vehicles moving in the opposite direction.
Example Scenario: A vehicle enters a one-way street. They should not go against traffic and follow the flow..",https://drive.google.com/open?id=14FnQJQ5AdI_EW3E1kKACBSomaATZSoOJ&usp=drive_copy,,,,,,,,,,,,,,,,,,,
6,1,Keep Right,Vehicles are to stay on the right side of the road.,beginner6_keepright.png,"Vehicles are to stay on the right side of the road. The sign promotes safe driving, traffic control, and avoidance of head-on collisions.
Example Scenario: A motorist encounters a Keep Right sign on a highway. Unless passing, they are to stay in the right lane.",https://drive.google.com/open?id=1dBlPOusLwpIAP3YeFkSbtwV89xm3xSad&usp=drive_copy,,,,,,,,,,,,,,,,,,,
7,1,Keep Left,The left side of the road is where one is to go. ,beginner7_keepleft.webp,"The left side of the road is where one is to go. This is employed in certain areas where traffic conditions necessitate drivers staying on the left for efficiency and safety.
Example Scenario: There is a Keep Left sign on a construction road. Drivers are to stay on the left side of the road to view the detour.",https://drive.google.com/open?id=14c3tYCXQy85c98hOLzCm65h8ALTmf5bL&usp=drive_copy,,,,,,,,,,,,,,,,,,,
8,1,Merging Traffic,Traffic will be merging up ahead with traffic from another road.,beginner10_mergingtraffic.png,"Traffic will be merging up ahead with traffic from another road. Drivers need to be attentive, slow down, and yield to merging traffic to merge smoothly with traffic.
Example Scenario: A driver on a highway noticing a merging traffic sign. To make space for a vehicle from an on-ramp to merge safely, they slow down a bit.",https://drive.google.com/open?id=1ELbXw63GqJ9-puUhjMvbNPoXpOMrcqNw&usp=drive_copy,,,,,,,,,,,,,,,,,,,
9,1,No Entry for All Vehicles,Vehicles are not permitted here. ,beginner12_noentry.png,"Vehicles are not permitted here. This sign is utilized to indicate private or limited places or to limit entry to specific routes for pedestrian safety.
Example Scenario: A No Entry sign marks a private drive, which is entered by a vehicle. They cannot go any further and have to turn back.",https://drive.google.com/open?id=1ShfRmIVk-ATngSCmEdFeTCoE4cVf1HLL&usp=drive_copy,,,,,,,,,,,,,,,,,,,
10,1,No Entry for Tricycles,Tricycles are not allowed to pass through the aforementioned part of the road.,beginner17_noentryfortricycles.png,"""Tricycles are not allowed to pass through the aforementioned part of the road. This is to avoid traffic congestion or danger in tricycle-prone areas that will be harmful to public safety.
Example Scenario: A tricycle driver notices a sign along the entrance of a highway that states """"No Entry for Tricycles."""" They need to use an alternative tricycle-specific road.""",https://drive.google.com/open?id=1yeZCqEIf7EPYSM7ULYoa3kPtGytkA5Dc&usp=drive_copy,,,,,,,,,,,,,,,,,,,
